Designator	Value	1st Vendor Part No	Center-X	Center-Y	Rotation
C36	220UF-6.3V-1411-6.3V	T520B227M006ATE045	121.9352	169.9960	0
C37	220UF-6.3V-1411-6.3V	T520B227M006ATE045	118.4682	169.9960	0
C38	220UF-6.3V-1411-6.3V	T520B227M006ATE045	125.3642	169.9960	0
C40	10NF-0402-50V	C0402C103M5RAC7867	131.3049	168.5530	0
C49	10NF-0402-50V	C0402C103M5RAC7867	134.8932	204.5145	180
C41	56PF-0402-50V	GRM1555C1H560GA01D	132.3589	168.5530	0
C43	8.2PF-0402-50V	GRM1555C1H8R2BA01D	129.1970	168.5530	0
C8	1UF-0402-10V	CL05A105KP5NNNC	103.7590	177.8000	270
C56	1UF-0402-10V	CL05A105KP5NNNC	101.7270	180.6880	180
C9	15PF-0402-50V	CL05C150JB5NNNC	103.7570	180.2130	90
C10	15PF-0402-50V	CL05C150JB5NNNC	103.7570	183.7690	90
C42	15PF-0402-50V	CL05C150JB5NNNC	128.1410	168.5530	0
C50	15PF-0402-50V	CL05C150JB5NNNC	133.8587	204.5145	180
D3	PESD5V0U1BB	PESD5V0U1BB,115	140.9700	212.5990	270
D4	PESD5V0U1BB	PESD5V0U1BB,115	140.9700	208.1364	270
D5	PESD5V0U1BB	PESD5V0U1BB,115	155.3500	201.9990	90
D6	PESD5V0U1BB	PESD5V0U1BB,115	140.9700	203.3960	270
DS1	APHHS1005LSECK/J3-PF	APHHS1005LSECK-J3-PF	96.9779	192.7797	180
FB1	120R-0402	BLM15PD121SN1D	103.6983	179.0262	90
FB5	120R-0402	BLM15PD121SN1D	124.3290	177.0046	270
FB2	220R-0603	BLM18SP221SN1D	101.3220	171.8580	0
FB4	220R-0603	BLM18SP221SN1D	115.1650	170.8140	0
L1	DFE252012F-100M	DFE252012F-100M	95.7639	183.3880	270
L2	XFL4020-222MEC	XFL4020-222MEC	111.3021	169.7990	90
L3	LQG15HS8N2J02D	LQG15HS8N2J02D	135.8660	207.7943	270
PATCH1	9001997	9001997	114.3826	198.5809	180
Q1	SI2369DS-T1-GE3	SI2369DS-T1-GE3	96.9960	169.2910	180
Q2	NX3008CBKS	NX3008CBKS,115	119.0075	176.1546	270
R1	150R-0402	ERJ-2RKF1500X	96.9500	205.0000	90
R2	150R-0402	ERJ-2RKF1500X	96.9500	200.0000	90
R3	150R-0402	ERJ-2RKF1500X	96.9500	202.5000	90
R4	150R-0402	ERJ-2RKF1500X	96.9839	193.7957	270
R22	150R-0402	ERJ-2RKF1500X	96.9500	195.0000	270
R23	150R-0402	ERJ-2RKF1500X	96.9500	197.5000	270
R10	61.9K-0402	ERJ-2RKF6192X	107.7910	168.5710	180
R11	10R-0402	ERJ-2RKF10R0X	121.7930	184.9300	180
R15	360K-0402	ERJ-2RKF3603X	101.7320	183.6000	180
R17	330K-0402	ERJ-2RKF3303X	117.2530	176.3296	180
R18	470K-0402	ERJ-2RKF4703X	119.0819	173.2280	90
R19	1M-0402	ERJ-2RKF1004X	119.0819	174.2440	270
R20	33K-0402	ERJ-2RKF3302X	116.2050	176.3296	0
R24	0R-0402	ERJ-2GE0R00X	92.0000	169.6610	0
RF_GNSS_S1	0R-0402	ERJ-2GE0R00X	127.7460	207.5030	90
RF_R2	0R-0402	ERJ-2GE0R00X	161.4214	171.0634	180
R6	750K-0402	ERJ-2RKF7503X	99.2380	184.2276	270
R7	10K-0402	ERJ-2RKF1002X	99.7890	168.0325	270
R12	10K-0402	ERJ-2RKF1002X	116.3320	182.0760	180
R13	10K-0402	ERJ-2RKF1002X	116.7700	174.2440	90
R14	10K-0402	ERJ-2RKF1002X	116.7700	173.2280	90
R8	100K-0402	ERJ-2RKF1003X	107.3399	174.5460	270
R9	26.1K-0402	ERJ-2RKF2612X	105.6320	168.5710	180
RF_GNSS_P2	1.2PF-0402-50V	GJM1555C1H1R2BB01D	129.3970	206.9530	180
RF_GNSS_S2	LQW15AN6N2C00D	LQW15AN6N2C00D	131.0480	207.5030	270
RF_P2	10PF-0402-50V	GJM1555C1H100FB01D	145.2880	168.6280	180
RF_S1	LQW15AN10NH00D	LQW15AN10NH00D	146.9992	169.1780	90
RF_S2	MHQ1005P1N0BT000	MHQ1005P1N0BT000	142.3236	169.1780	90
SIM1	0201AAAG06A	0201AAAG06A	148.6444	207.8990	180
U1	STM32L072CZT6	STM32L072CZT6	110.6170	180.5940	0
U10	SAFFB1G56KB0F0A	SAFFB1G56KB0F0A	134.0337	207.7943	180
U2	MP2322GQH-Z	MP2322GQH-Z	99.9380	181.2415	90
U3	62902R-6290	TPS62902RPJR	107.0290	171.1085	180
U4	LIS2DH12TR	LIS2DH12TR	118.2370	185.2930	0
U5	TPS22915CYFPR	TPS22915CYFPR	124.8950	183.1880	90
U8	TPS22915CYFPR	TPS22915CYFPR	125.0302	175.7637	0
U6	SST26WF064C-104I-MF	SST26WF064C-104I-MF	120.3960	180.7210	0
U7	8001M-8001	LENA-R8001M10	141.2160	185.6240	180
U9	BGA524N6E6327XTSA1	BGA524N6E6327XTSA1	136.4160	206.0095	270
XTAL1	32.768KHZ	ECS-.327-9-12R-TR	103.6320	181.9910	270
